Date,open,hight,low,close,volume,close_adj
"2013-01-04","10960","10960","10840","10880","917587","10880"
"2013-01-07","10920","10940","10780","10810","423505","10810"
"2013-01-08","10750","10800","10660","10670","431440","10670"
"2013-01-09","10580","10810","10570","10760","665765","10760"
"2013-01-10","10840","10880","10810","10840","231724","10840"
"2013-01-11","11020","11030","10940","11020","548282","11020"
"2013-01-15","11130","11160","11050","11090","418906","11090"
"2013-01-16","11030","11030","10780","10780","755169","10780"
"2013-01-17","10860","10890","10620","10820","503233","10820"
"2013-01-18","11030","11120","11000","11120","661536","11120"
"2013-01-21","11160","11160","10910","10930","1013221","10930"
"2013-01-22","10960","11060","10810","10910","1102359","10910"
"2013-01-23","10780","10860","10660","10670","442184","10670"
"2013-01-24","10650","10830","10630","10820","393353","10820"
"2013-01-25","11040","11140","11010","11130","1007135","11130"
"2013-01-28","11190","11210","11010","11020","960432","11020"
"2013-01-29","10930","11140","10930","11090","441547","11090"
"2013-01-30","11120","11320","11100","11320","601271","11320"
"2013-01-31","11260","11350","11200","11330","646565","11330"
"2013-02-01","11380","11450","11340","11400","559328","11400"
"2013-02-04","11480","11490","11400","11470","514801","11470"
"2013-02-05","11310","11390","11250","11270","898665","11270"
"2013-02-06","11500","11710","11490","11650","1156821","11650"
"2013-02-07","11560","11660","11490","11600","957144","11600"
"2013-02-08","11480","11510","11340","11380","1137070","11380"
"2013-02-12","11630","11670","11570","11570","768578","11570"
"2013-02-13","11550","11580","11400","11470","407059","11470"
"2013-02-14","11490","11570","11450","11530","535188","11530"
"2013-02-15","11450","11480","11270","11380","833782","11380"
"2013-02-18","11550","11650","11530","11620","874150","11620"
"2013-02-19","11560","11620","11550","11590","279035","11590"
"2013-02-20","11680","11730","11650","11680","493234","11680"
"2013-02-21","11620","11650","11510","11520","630096","11520"
"2013-02-22","11450","11620","11370","11620","642473","11620"
"2013-02-25","11810","11880","11770","11880","810569","11880"
"2013-02-26","11580","11740","11560","11630","1346184","11630"
"2013-02-27","11650","11650","11460","11470","818467","11470"
"2013-02-28","11640","11790","11630","11750","1048740","11750"
"2013-03-01","11720","11870","11690","11810","632253","11810"
"2013-03-04","11930","11990","11840","11860","533038","11860"
"2013-03-05","11960","12000","11890","11910","636424","11910"
"2013-03-06","12040","12160","12020","12160","1125843","12160"
"2013-03-07","12270","12300","12170","12190","685239","12190"
"2013-03-08","12330","12520","12310","12520","883907","12520"
"2013-03-11","12560","12640","12520","12580","920346","12580"
"2013-03-12","12690","12700","12550","12550","664470","12550"
"2013-03-13","12490","12580","12460","12480","709657","12480"
"2013-03-14","12560","12630","12480","12620","451743","12620"
"2013-03-15","12680","12800","12670","12800","659617","12800"
"2013-03-18","12570","12620","12460","12480","1250712","12480"
"2013-03-19","12660","12730","12650","12730","672876","12730"
"2013-03-21","12840","12890","12830","12870","665416","12870"
"2013-03-22","12730","12760","12580","12610","989119","12610"
"2013-03-25","12770","12840","12720","12810","883981","12810"
"2013-03-26","12710","12790","12670","12680","632817","12680"
"2013-03-27","12800","12840","12750","12840","421695","12840"
"2013-03-28","12770","12780","12600","12680","1097729","12680"
"2013-03-29","12720","12750","12640","12690","441949","12690"
"2013-04-01","12700","12710","12470","12510","804383","12510"
"2013-04-02","12350","12380","12100","12330","1061002","12330"
"2013-04-03","12520","12680","12460","12680","635435","12680"
"2013-04-04","12490","13040","12380","13010","1896908","13010"
"2013-04-05","13520","13560","13120","13140","2347829","13140"
"2013-04-08","13550","13570","13420","13540","906623","13540"
"2013-04-09","13650","13680","13490","13530","872086","13530"
"2013-04-10","13530","13660","13510","13630","646040","13630"
"2013-04-11","13780","13880","13720","13830","1002451","13830"
"2013-04-12","13790","13880","13740","13840","716402","13840"
"2013-04-15","13690","13750","13600","13670","743734","13670"
"2013-04-16","13350","13660","13310","13650","997104","13650"
"2013-04-17","13670","13750","13660","13740","606887","13740"
"2013-04-18","13620","13730","13550","13630","919289","13630"
"2013-04-19","13630","13710","13540","13710","615134","13710"
"2013-04-22","13910","13970","13880","13920","969765","13920"
"2013-04-23","13900","13930","13850","13870","413534","13870"
"2013-04-24","14050","14180","14040","14180","920562","14180"
"2013-04-25","14220","14340","14180","14270","808937","14270"
"2013-04-26","14330","14350","14210","14290","639161","14290"
"2013-04-30","14190","14250","14140","14210","539963","14210"
"2013-05-01","14180","14200","14140","14180","331769","14180"
"2013-05-02","14100","14140","13990","14060","745495","14060"
"2013-05-07","14440","14570","14410","14540","1266523","14540"
"2013-05-08","14570","14800","14560","14640","1048409","14640"
"2013-05-09","14730","14790","14560","14600","806832","14600"
"2013-05-10","14910","15030","14880","15030","1268417","15030"
"2013-05-13","15170","15240","15110","15200","1066452","15200"
"2013-05-14","15230","15230","15140","15190","655973","15190"
"2013-05-15","15390","15500","15390","15450","1096063","15450"
"2013-05-16","15570","15570","15270","15440","1507091","15440"
"2013-05-17","15330","15570","15280","15570","798140","15570"
"2013-05-20","15700","15790","15660","15770","662687","15770"
"2013-05-21","15680","15790","15660","15770","463184","15770"
"2013-05-22","15860","16120","15850","16050","1003738","16050"
"2013-05-23","16170","16360","14860","15000","3535702","15000"
"2013-05-24","15260","15400","14350","15010","3759896","15010"
"2013-05-27","14520","14690","14390","14450","1866768","14450"
"2013-05-28","14320","14780","14290","14700","1434224","14700"
"2013-05-29","14950","14950","14600","14620","1056879","14620"
"2013-05-30","14350","14460","13890","14040","1911259","14040"
"2013-05-31","14250","14290","14030","14100","1112329","14100"
"2013-06-03","13900","13900","13590","13650","1205268","13650"
"2013-06-04","13550","13980","13400","13980","1810685","13980"
"2013-06-05","13920","14100","13340","13360","1212512","13360"
"2013-06-06","13230","13590","13160","13170","1149428","13170"
"2013-06-07","13040","13460","12870","13080","2140921","13080"
"2013-06-10","13670","13940","13540","13930","887290","13930"
"2013-06-11","13890","13950","13620","13700","1472191","13700"
"2013-06-12","13420","13680","13330","13640","660739","13640"
"2013-06-13","13320","13320","12740","12750","1926182","12750"
"2013-06-14","13190","13260","12960","13070","1103839","13070"
"2013-06-17","12920","13420","12880","13420","708477","13420"
"2013-06-18","13350","13490","13250","13350","666508","13350"
"2013-06-19","13620","13650","13440","13590","596454","13590"
"2013-06-20","13420","13540","13300","13350","749831","13350"
"2013-06-21","13050","13720","13020","13710","872633","13710"
"2013-06-24","13810","13830","13360","13380","641938","13380"
"2013-06-25","13430","13580","13090","13360","547274","13360"
"2013-06-26","13550","13560","13120","13140","475481","13140"
"2013-06-27","13300","13610","13210","13610","724687","13610"
"2013-06-28","13710","14100","13700","14010","1171657","14010"
"2013-07-01","14140","14230","13920","14210","428713","14210"
"2013-07-02","14310","14500","14260","14470","832608","14470"
"2013-07-03","14520","14540","14340","14410","812119","14410"
"2013-07-04","14170","14290","14130","14190","401980","14190"
"2013-07-05","14340","14530","14330","14520","574651","14520"
"2013-07-08","14680","14700","14240","14290","1090614","14290"
"2013-07-09","14470","14680","14370","14650","674578","14650"
"2013-07-10","14640","14750","14460","14620","807641","14620"
"2013-07-11","14470","14690","14450","14670","486059","14670"
"2013-07-12","14670","14770","14610","14690","491301","14690"
"2013-07-16","14800","14840","14750","14790","352272","14790"
"2013-07-17","14680","14810","14640","14800","459133","14800"
"2013-07-18","14850","15030","14840","15000","578615","15000"
