Date,result,rsi_7,rsi_14,roc_7,golden_cross_sma_25_75,golden_cross_sma_5_25,bband_signal
2004-01-26,0.0,54.96066598839641,57.6271186440678,2.9990627928772273,0.0,0.0,0.0
2004-01-27,0.0,51.82754127685174,56.091370558375644,1.0138248847926246,0.0,0.0,0.0
2004-01-28,0.0,45.74300886801208,53.046528803545044,-1.0889292196007205,0.0,0.0,0.0
2004-01-29,0.0,39.44063603148391,49.659619731418694,-1.9021739130434812,0.0,0.0,0.0
2004-01-30,0.0,36.898722909437005,48.23812617854,-1.8181818181818188,0.0,0.0,0.0
2004-02-02,0.0,35.99652279315125,47.74749457279101,-2.264492753623193,0.0,0.0,0.0
2004-02-03,0.0,25.72353082288828,41.399039171703514,-4.140414041404139,0.0,0.0,0.0
2004-02-04,0.0,17.432030464402718,34.368821542817265,-4.913557779799815,0.0,0.0,0.0
2004-02-05,0.0,20.42449317326378,35.547520289697864,-4.470802919708028,0.0,0.0,0.0
2004-02-06,0.0,20.42449317326378,35.54752028969786,-3.94495412844037,0.0,0.0,0.0
2004-02-09,1.0,17.417310207177252,33.132171100514306,-3.970452446906736,0.0,0.0,1.0
2004-02-10,1.0,17.417310207177255,33.132171100514306,-3.703703703703709,0.0,0.0,0.0
2004-02-12,0.0,31.204140886770933,38.01661652273988,-2.9657089898053712,0.0,0.0,0.0
2004-02-13,1.0,47.32594401803168,44.83583236240839,-0.6572769953051671,0.0,0.0,0.0
2004-02-16,0.0,46.178206750972734,44.358057087322955,1.1483253588516762,0.0,0.0,0.0
2004-02-17,0.0,59.82022752620908,51.09302001918581,2.1012416427889313,0.0,0.0,0.0
2004-02-18,0.0,59.82022752620908,51.09302001918582,2.1012416427889313,0.0,0.0,0.0
2004-02-19,0.0,68.79232993512065,56.2150899759559,3.750000000000009,0.0,0.0,0.0
2004-02-20,0.0,62.30025730038632,53.788433873463525,3.3653846153846256,0.0,0.0,0.0
2004-02-23,1.0,72.78689532620392,60.255215530282854,4.011461318051568,0.0,1.0,0.0
2004-02-24,1.0,47.47557824701516,48.2975346940739,0.7561436672967936,0.0,0.0,0.0
2004-02-25,1.0,49.265419732740874,49.24084278363989,1.0406811731314969,0.0,0.0,0.0
2004-02-26,1.0,60.3105969178085,55.378084642166826,1.2160898035547207,0.0,0.0,0.0
2004-02-27,1.0,72.34978353967401,63.52084256851225,3.4611786716557624,0.0,0.0,0.0
2004-03-01,0.0,79.35234221870238,69.30222268999937,4.633920296570904,0.0,0.0,0.0
2004-03-02,1.0,81.4921539431085,71.22405577621007,5.860465116279068,0.0,0.0,0.0
2004-03-03,0.0,77.33637124030926,69.15193420481033,4.132231404958686,0.0,0.0,0.0
2004-03-04,0.0,80.01205339723634,71.18335174621221,7.223264540337704,0.0,0.0,0.0
2004-03-05,0.0,83.74385242571739,74.22935260555342,8.426966292134841,0.0,0.0,0.0
2004-03-08,0.0,81.38035479176335,73.11955567385955,6.839186691312382,0.0,0.0,0.0
2004-03-09,0.0,76.35228757405973,70.83841859751968,4.159132007233279,0.0,0.0,0.0
2004-03-10,0.0,66.73191543179017,66.37818223675988,1.3286093888396744,0.0,0.0,0.0
2004-03-11,1.0,53.864947597178755,59.790136438762445,-0.6151142355008798,0.0,0.0,0.0
2004-03-12,0.0,45.25158812431776,54.83115309206562,-1.2345679012345734,0.0,0.0,0.0
2004-03-15,0.0,54.50966559905942,58.84161734964724,-0.9623797025371861,0.0,0.0,0.0
2004-03-16,0.0,48.88393389207747,55.73298455558634,-2.849740932642486,0.0,0.0,0.0
2004-03-17,0.0,61.47473763551721,61.65457802078747,-1.038062283737029,0.0,0.0,0.0
2004-03-18,0.0,62.0487422627686,61.943128969983164,-0.607638888888884,0.0,0.0,0.0
2004-03-19,1.0,58.973396344751215,60.47293059120745,-0.17482517482517723,0.0,0.0,0.0
2004-03-22,1.0,48.657068209767615,55.290980721952224,0.0,0.0,0.0,0.0
2004-03-23,1.0,46.91616118684049,54.37858738067,0.8035714285714368,0.0,0.0,0.0
2004-03-24,1.0,53.68298727730334,57.05001584713661,0.35335689045936647,0.0,0.0,0.0
2004-03-25,0.0,67.00288771282854,63.327129228508525,2.6666666666666616,0.0,0.0,0.0
2004-03-26,0.0,76.82467780583387,69.4089506514351,3.0594405594405627,0.0,0.0,0.0
2004-03-29,1.0,77.15522775465816,69.63491333436203,3.056768558951961,0.0,0.0,0.0
2004-03-30,1.0,72.34021034410118,67.4875253135408,2.977232924693518,0.0,0.0,0.0
2004-03-31,1.0,75.0635690483197,69.03027943696365,4.509283819628651,0.0,0.0,0.0
2004-04-01,1.0,64.03083414862638,64.11569306120383,3.8972542072630567,0.0,0.0,0.0
2004-04-02,0.0,72.02566505422611,68.18161392063253,4.577464788732399,0.0,0.0,0.0
2004-04-05,0.0,78.08686864202207,71.84604962535298,4.2424242424242475,0.0,0.0,0.0
2004-04-06,0.0,81.07655785710297,73.87144170253066,2.968617472434265,0.0,0.0,0.0
2004-04-07,0.0,70.91727727159146,69.05639129130317,2.1186440677966045,0.0,0.0,0.0
2004-04-08,1.0,75.66133469872429,71.7046630732275,3.486394557823136,0.0,0.0,0.0
2004-04-09,0.0,55.439261066029985,60.9394759995019,1.0152284263959421,0.0,0.0,0.0
2004-04-12,0.0,62.96968330433149,64.66531055943257,3.069053708439906,0.0,0.0,0.0
2004-04-13,0.0,67.27147089455877,66.93002179506972,2.609427609427617,0.0,0.0,0.0
2004-04-14,0.0,65.49612122922713,66.01865560864374,1.0797342192691017,0.0,0.0,0.0
