Date,open,hight,low,close,volume,close_adj
"2005-01-04","11480","11580","11460","11570","173690","11570"
"2005-01-05","11470","11490","11450","11470","162240","11470"
"2005-01-06","11400","11510","11400","11500","156920","11500"
"2005-01-07","11550","11550","11460","11490","143970","11490"
"2005-01-11","11520","11610","11520","11570","317450","11570"
"2005-01-12","11560","11590","11480","11500","158110","11500"
"2005-01-13","11440","11470","11380","11390","221490","11390"
"2005-01-14","11380","11510","11350","11480","424870","11480"
"2005-01-17","11510","11560","11480","11520","138170","11520"
"2005-01-18","11540","11550","11430","11460","146490","11460"
"2005-01-19","11510","11520","11420","11440","97470","11440"
"2005-01-20","11360","11360","11290","11320","254480","11320"
"2005-01-21","11260","11330","11240","11290","157770","11290"
"2005-01-24","11250","11340","11240","11330","102340","11330"
"2005-01-25","11290","11310","11240","11310","123880","11310"
"2005-01-26","11380","11410","11360","11390","110250","11390"
"2005-01-27","11410","11420","11340","11370","92450","11370"
"2005-01-28","11350","11370","11260","11320","156240","11320"
"2005-01-31","11330","11500","11300","11410","279400","11410"
"2005-02-01","11440","11450","11360","11390","168550","11390"
"2005-02-02","11450","11480","11420","11450","142650","11450"
"2005-02-03","11480","11480","11370","11400","126890","11400"
"2005-02-04","11410","11410","11300","11360","171220","11360"
"2005-02-07","11420","11570","11400","11510","333880","11510"
"2005-02-08","11550","11550","11490","11520","148320","11520"
"2005-02-09","11550","11570","11490","11510","135770","11510"
"2005-02-10","11470","11580","11450","11550","241700","11550"
"2005-02-14","11660","11710","11650","11660","500400","11660"
"2005-02-15","11690","11710","11660","11670","198570","11670"
"2005-02-16","11670","11710","11610","11640","258890","11640"
"2005-02-17","11600","11670","11600","11630","148400","11630"
"2005-02-18","11590","11690","11580","11680","268410","11680"
"2005-02-21","11710","11720","11680","11700","126700","11700"
"2005-02-22","11670","11690","11610","11610","138060","11610"
"2005-02-23","11500","11540","11490","11530","258640","11530"
"2005-02-24","11550","11580","11530","11570","133850","11570"
"2005-02-25","11610","11710","11600","11670","228830","11670"
"2005-02-28","11750","11790","11740","11780","248410","11780"
"2005-03-01","11760","11820","11740","11790","182350","11790"
"2005-03-02","11840","11860","11810","11820","225500","11820"
"2005-03-03","11830","11880","11820","11860","169400","11860"
"2005-03-04","11850","11910","11800","11900","243160","11900"
"2005-03-07","11970","12000","11940","11940","284290","11940"
"2005-03-08","11950","11960","11900","11930","221600","11930"
"2005-03-09","11900","12000","11900","11990","171970","11990"
"2005-03-10","11920","12000","11880","11880","226120","11880"
"2005-03-11","11930","12000","11920","11970","129140","11970"
"2005-03-14","12000","12000","11890","11910","354310","11910"
"2005-03-15","11930","11950","11820","11870","175350","11870"
"2005-03-16","11870","11900","11830","11900","113930","11900"
"2005-03-17","11790","11840","11780","11830","301450","11830"
"2005-03-18","11820","11940","11810","11920","267360","11920"
"2005-03-22","11860","11920","11850","11890","204880","11890"
"2005-03-23","11850","11850","11710","11760","400170","11760"
"2005-03-24","11750","11840","11720","11740","160210","11740"
"2005-03-25","11800","11830","11750","11770","106940","11770"
"2005-03-28","11770","11890","11770","11860","201950","11860"
"2005-03-29","11890","11890","11650","11670","411080","11670"
"2005-03-30","11630","11700","11600","11630","206110","11630"
"2005-03-31","11700","11740","11680","11740","116270","11740"
"2005-04-01","11680","11800","11640","11790","252740","11790"
"2005-04-04","11720","11790","11720","11780","130740","11780"
"2005-04-05","11790","11870","11780","11860","130190","11860"
"2005-04-06","11870","11920","11840","11920","216530","11920"
"2005-04-07","11920","11920","11840","11890","103440","11890"
"2005-04-08","11940","11980","11910","11950","305810","11950"
"2005-04-11","11910","11930","11830","11840","139790","11840"
"2005-04-12","11820","11840","11740","11750","217510","11750"
"2005-04-13","11790","11810","11680","11730","218650","11730"
"2005-04-14","11680","11680","11560","11650","514270","11650"
"2005-04-15","11540","11540","11420","11430","605610","11430"
"2005-04-18","11250","11250","10960","10980","1174380","10980"
"2005-04-19","11070","11170","11050","11150","378540","11150"
"2005-04-20","11240","11290","11130","11140","341450","11140"
"2005-04-21","11010","11090","10850","11070","588260","11070"
"2005-04-22","11230","11240","11140","11140","255240","11140"
"2005-04-25","11130","11200","11100","11150","210730","11150"
"2005-04-26","11170","11170","11100","11130","108480","11130"
"2005-04-27","11050","11110","11030","11110","216000","11110"
"2005-04-28","11050","11070","10970","11060","202530","11060"
"2005-05-02","10990","11130","10990","11090","233740","11090"
"2005-05-06","11220","11270","11200","11270","147940","11270"
