Date,open,hight,low,close,volume,close_adj
"2016-01-04","19300","19440","18860","18950","1610477","18950"
"2016-01-05","18870","19030","18800","18850","755490","18850"
"2016-01-06","18870","18950","18530","18670","1399603","18670"
"2016-01-07","18610","18650","18230","18230","1654689","18230"
"2016-01-08","18100","18450","18000","18190","1294538","18190"
"2016-01-12","17900","18020","17640","17700","1257628","17700"
"2016-01-13","17910","18180","17910","18180","460840","18180"
"2016-01-14","17670","17730","17380","17700","1315911","17700"
"2016-01-15","17970","18060","17500","17590","713343","17590"
"2016-01-18","17230","17480","17090","17390","1186794","17390"
"2016-01-19","17340","17530","17240","17500","809454","17500"
"2016-01-20","17470","17470","16810","16870","1398928","16870"
"2016-01-21","16900","17170","16430","16450","1495886","16450"
"2016-01-22","17030","17430","16880","17400","986948","17400"
"2016-01-25","17600","17660","17350","17540","1039740","17540"
"2016-01-26","17240","17270","17070","17130","447995","17130"
"2016-01-27","17470","17690","17390","17580","603091","17580"
"2016-01-28","17490","17680","17370","17490","504175","17490"
"2016-01-29","17530","18200","17170","18020","1637608","18020"
"2016-02-01","18300","18370","18150","18320","869125","18320"
"2016-02-02","18120","18320","18120","18200","524535","18200"
"2016-02-03","17850","17910","17520","17650","1104675","17650"
"2016-02-04","17470","17650","17370","17480","715323","17480"
"2016-02-05","17240","17330","17050","17260","834267","17260"
"2016-02-08","17020","17530","16970","17430","829168","17430"
"2016-02-09","16770","16820","16440","16520","1163040","16520"
"2016-02-10","16560","16580","15820","16090","1691513","16090"
"2016-02-12","15600","15680","15250","15340","2133508","15340"
"2016-02-15","15950","16570","15890","16430","1317572","16430"
"2016-02-16","16260","16760","16220","16460","911624","16460"
"2016-02-17","16390","16620","16020","16250","864462","16250"
"2016-02-18","16720","16760","16510","16600","551658","16600"
"2016-02-19","16410","16440","16190","16390","677728","16390"
"2016-02-22","16230","16600","16210","16510","648734","16510"
"2016-02-23","16610","16770","16400","16460","1015959","16460"
"2016-02-24","16250","16410","16140","16300","577963","16300"
"2016-02-25","16370","16640","16360","16580","477067","16580"
"2016-02-26","16730","16900","16600","16600","710051","16600"
"2016-02-29","16760","16890","16470","16480","470419","16480"
"2016-03-01","16440","16520","16260","16490","352757","16490"
"2016-03-02","16960","17250","16890","17160","1356335","17160"
"2016-03-03","17120","17400","17120","17380","818697","17380"
"2016-03-04","17360","17490","17300","17430","413495","17430"
"2016-03-07","17480","17480","17330","17360","417264","17360"
"2016-03-08","17330","17350","17000","17200","691142","17200"
"2016-03-09","17070","17150","16930","17090","493849","17090"
"2016-03-10","17240","17320","17130","17290","342758","17290"
"2016-03-11","17030","17460","16990","17380","656154","17380"
"2016-03-14","17600","17750","17590","17660","889405","17660"
"2016-03-15","17690","17740","17480","17550","424947","17550"
"2016-03-16","17430","17550","17390","17420","391080","17420"
"2016-03-17","17550","17690","17240","17370","632982","17370"
"2016-03-18","17330","17360","17040","17150","586332","17150"
"2016-03-22","17400","17560","17280","17460","703785","17460"
"2016-03-23","17500","17580","17400","17460","401096","17460"
"2016-03-24","17380","17480","17280","17330","409673","17330"
"2016-03-25","17380","17460","17320","17420","316170","17420"
"2016-03-28","17550","17610","17390","17530","819585","17530"
"2016-03-29","17530","17700","17500","17660","868089","17660"
"2016-03-30","17620","17640","17430","17450","582611","17450"
"2016-03-31","17580","17610","17310","17320","567597","17320"
"2016-04-01","17290","17290","16650","16710","1404780","16710"
"2016-04-04","16630","16780","16570","16640","621432","16640"
"2016-04-05","16600","16610","16220","16250","940607","16250"
"2016-04-06","16240","16360","16120","16240","770588","16240"
"2016-04-07","16240","16400","16140","16270","481779","16270"
"2016-04-08","16000","16570","15990","16370","934939","16370"
"2016-04-11","16300","16320","16040","16300","694785","16300"
"2016-04-12","16270","16500","16220","16460","476660","16460"
"2016-04-13","16710","16950","16680","16920","899530","16920"
"2016-04-14","17200","17480","17160","17460","1508128","17460"
"2016-04-15","17290","17500","17280","17390","491054","17390"
"2016-04-18","16840","16980","16790","16820","688510","16820"
"2016-04-19","17290","17470","17290","17440","485691","17440"
"2016-04-20","17600","17680","17430","17470","954850","17470"
"2016-04-21","17850","17960","17130","17910","1644957","17910"
"2016-04-22","17770","18160","17760","18130","1390642","18130"
"2016-04-25","18210","18220","17980","18030","539481","18030"
"2016-04-26","17950","18020","17770","17910","527398","17910"
"2016-04-27","17970","18000","17800","17900","533740","17900"
"2016-04-28","18050","18170","17100","17220","1206593","17220"
"2016-05-02","16520","16700","16490","16680","939296","16680"
"2016-05-06","16740","16820","16520","16650","444542","16650"
"2016-05-09","16770","16830","16690","16780","386922","16780"
"2016-05-10","16840","17150","16770","17150","623044","17150"
"2016-05-11","17310","17380","17080","17130","596595","17130"
"2016-05-12","16990","17230","16910","17210","376990","17210"
"2016-05-13","17270","17360","16940","16970","483519","16970"
"2016-05-16","16990","17190","16960","17000","465277","17000"
"2016-05-17","17200","17230","17060","17220","359652","17220"
"2016-05-18","17150","17370","17070","17210","608986","17210"
"2016-05-19","17360","17410","17140","17210","378387","17210"
"2016-05-20","17160","17340","17110","17300","406334","17300"
"2016-05-23","17240","17260","16970","17210","642010","17210"
"2016-05-24","17150","17160","17010","17040","402770","17040"
"2016-05-25","17360","17390","17280","17330","853570","17330"
"2016-05-26","17510","17540","17290","17320","844929","17320"
"2016-05-27","17410","17470","17350","17400","302524","17400"
"2016-05-30","17540","17640","17470","17640","466562","17640"
"2016-05-31","17570","17840","17560","17800","1283733","17800"
"2016-06-01","17670","17730","17470","17500","865815","17500"
"2016-06-02","17380","17390","17080","17120","1038074","17120"
"2016-06-03","17170","17280","17110","17200","378031","17200"
"2016-06-06","16910","17140","16860","17140","623930","17140"
"2016-06-07","17200","17270","17090","17230","288854","17230"
"2016-06-08","17270","17380","17130","17380","385559","17380"
"2016-06-09","17280","17350","17150","17210","357920","17210"
"2016-06-10","17190","17200","17050","17140","387822","17140"
"2016-06-13","16840","16870","16580","16590","938739","16590"
"2016-06-14","16530","16640","16300","16400","980222","16400"
"2016-06-15","16320","16540","16270","16480","556379","16480"
"2016-06-16","16400","16450","15910","15960","1074142","15960"
"2016-06-17","16220","16320","16110","16150","680257","16150"
"2016-06-20","16400","16580","16390","16490","511483","16490"
"2016-06-21","16400","16750","16300","16690","999152","16690"
"2016-06-22","16650","16700","16520","16600","327623","16600"
"2016-06-23","16660","16810","16590","16760","578877","16760"
"2016-06-24","16890","16950","15350","15450","2695980","15450"
"2016-06-27","15680","15850","15570","15840","1188744","15840"
"2016-06-28","15620","15990","15510","15880","993501","15880"
"2016-06-29","16100","16170","15930","16110","596274","16110"
"2016-06-30","16310","16340","16140","16150","435045","16150"
"2016-07-01","16260","16320","16170","16220","389587","16220"
"2016-07-04","16100","16370","16100","16330","545194","16330"
"2016-07-05","16230","16260","16140","16200","584234","16200"
"2016-07-06","15680","15700","15440","15650","1122316","15650"
"2016-07-07","15640","15700","15500","15550","375778","15550"
"2016-07-08","15560","15680","15370","15390","573834","15390"
"2016-07-11","15740","16090","15740","15980","729711","15980"
"2016-07-12","16310","16530","16300","16350","840809","16350"
"2016-07-13","16750","16760","16480","16490","672920","16490"
"2016-07-14","16530","16690","16500","16670","593785","16670"
"2016-07-15","16740","16890","16690","16780","960740","16780"
"2016-07-19","16900","17020","16800","17010","1404062","17010"
"2016-07-20","16920","16980","16830","16940","542774","16940"
"2016-07-21","17170","17230","17020","17080","590320","17080"
"2016-07-22","16850","16970","16840","16880","328024","16880"
"2016-07-25","16940","17060","16890","16910","355989","16910"
"2016-07-26","16820","16830","16590","16670","441081","16670"
"2016-07-27","16850","17120","16820","16950","1062110","16950"
"2016-07-28","16860","16890","16720","16770","830744","16770"
"2016-07-29","16720","16990","16420","16850","1454934","16850"
"2016-08-01","16650","16960","16600","16910","1097916","16910"
"2016-08-02","16740","16820","16660","16670","629657","16670"
"2016-08-03","16460","16560","16320","16360","681025","16360"
"2016-08-04","16410","16550","16180","16520","1285464","16520"
"2016-08-05","16530","16630","16500","16530","385513","16530"
"2016-08-08","16800","16930","16770","16920","533354","16920"
"2016-08-09","16920","17060","16910","17040","533512","17040"
"2016-08-10","16980","17110","16940","16990","507526","16990"
"2016-08-12","17130","17240","17100","17190","581744","17190"
"2016-08-15","17160","17220","17130","17130","218231","17130"
"2016-08-16","17190","17190","16890","16890","351079","16890"
"2016-08-17","16890","17060","16880","17040","425813","17040"
"2016-08-18","16920","17000","16760","16780","434635","16780"
"2016-08-19","16850","16900","16730","16830","228879","16830"
"2016-08-22","16880","16910","16820","16880","267902","16880"
"2016-08-23","16820","16950","16730","16760","508365","16760"
"2016-08-24","16870","16930","16820","16850","237784","16850"
"2016-08-25","16860","16920","16800","16850","163167","16850"
"2016-08-26","16780","16780","16610","16660","429761","16660"
"2016-08-29","16970","17060","16960","17030","368410","17030"
"2016-08-30","17000","17050","16970","17050","373140","17050"
"2016-08-31","17160","17210","17130","17180","379203","17180"
"2016-09-01","17180","17250","17160","17220","300774","17220"
"2016-09-02","17180","17240","17140","17220","312431","17220"
"2016-09-05","17420","17450","17310","17320","734488","17320"
"2016-09-06","17340","17400","17330","17370","216717","17370"
"2016-09-07","17200","17320","17200","17320","193445","17320"
"2016-09-08","17290","17300","17140","17270","447353","17270"
"2016-09-09","17290","17320","17200","17280","216857","17280"
"2016-09-12","17070","17100","16890","16960","438098","16960"
"2016-09-13","17070","17080","16950","17020","290050","17020"
"2016-09-14","16910","17000","16890","16910","161952","16910"
"2016-09-15","16810","16820","16650","16700","380352","16700"
"2016-09-16","16750","16820","16710","16820","248273","16820"
"2016-09-20","16700","16880","16680","16770","204909","16770"
"2016-09-21","16760","17110","16650","17110","786389","17110"
"2016-09-23","17060","17100","17010","17040","295718","17040"
"2016-09-26","17000","17000","16790","16810","316590","16810"
"2016-09-27","16680","16960","16570","16960","417391","16960"
"2016-09-28","16900","16920","16780","16860","326496","16860"
"2016-09-29","17020","17170","17000","17100","526914","17100"
"2016-09-30","16900","16900","16800","16860","512950","16860"
"2016-10-03","16990","17060","16960","17000","311409","17000"
"2016-10-04","17070","17150","17040","17110","424545","17110"
"2016-10-05","17190","17250","17130","17240","384555","17240"
"2016-10-06","17330","17390","17290","17310","485598","17310"
"2016-10-07","17280","17310","17230","17280","390338","17280"
"2016-10-11","17350","17490","17350","17440","459156","17440"
"2016-10-12","17280","17370","17250","17270","283869","17270"
"2016-10-13","17350","17400","17150","17180","509701","17180"
"2016-10-17","17270","17360","17240","17330","230406","17330"
"2016-10-19","17370","17440","17360","17410","216281","17410"
"2016-10-20","17400","17660","17400","17640","1009907","17640"
"2016-10-21","17690","17720","17580","17620","294705","17620"
"2016-10-24","17680","17680","17590","17660","177328","17660"
"2016-10-25","17750","17810","17730","17810","358314","17810"
"2016-10-26","17740","17820","17720","17800","313435","17800"
"2016-10-27","17780","17840","17700","17760","283704","17760"
"2016-10-28","17870","17890","17830","17880","409013","17880"
"2016-10-31","17790","17860","17750","17860","219737","17860"
"2016-11-01","17830","17910","17760","17880","373066","17880"
"2016-11-02","17680","17710","17500","17570","622735","17570"
"2016-11-04","17400","17410","17230","17320","574838","17320"
"2016-11-07","17590","17620","17490","17610","355671","17610"
"2016-11-08","17680","17680","17550","17590","274682","17590"
"2016-11-09","17730","17870","16500","16720","3517265","16720"
"2016-11-10","17740","17820","17530","17750","1874755","17750"
"2016-11-11","17950","18050","17750","17800","1217952","17800"
"2016-11-14","17920","18140","17900","18100","913762","18100"
"2016-11-15","18130","18150","18040","18100","436000","18100"
"2016-11-16","18290","18340","18250","18320","1128466","18320"
"2016-11-17","18220","18320","18210","18300","351689","18300"
"2016-11-18","18490","18500","18420","18420","928083","18420"
"2016-11-21","18490","18580","18450","18540","408621","18540"
"2016-11-22","18510","18620","18490","18600","465598","18600"
"2016-11-24","18800","18840","18760","18780","641575","18780"
"2016-11-25","18850","18940","18740","18840","825855","18840"
"2016-11-28","18750","18820","18660","18800","467622","18800"
"2016-11-29","18680","18770","18680","18750","257712","18750"
"2016-11-30","18800","18820","18720","18740","363639","18740"
"2016-12-01","19050","19210","18910","18960","982671","18960"
"2016-12-02","18890","18930","18760","18870","596634","18870"
"2016-12-05","18790","18820","18680","18730","618374","18730"
"2016-12-06","18910","18950","18760","18810","341223","18810"
"2016-12-07","18890","18950","18850","18940","533590","18940"
"2016-12-08","19140","19220","19060","19210","468837","19210"
"2016-12-09","19240","19510","19240","19480","992489","19480"
"2016-12-12","19680","19750","19520","19620","544215","19620"
"2016-12-13","19550","19730","19520","19720","574203","19720"
"2016-12-14","19750","19760","19650","19710","357071","19710"
"2016-12-15","19800","19910","19650","19740","892927","19740"
"2016-12-16","19890","19920","19820","19860","541953","19860"
"2016-12-19","19790","19870","19770","19870","332256","19870"
"2016-12-20","19840","19990","19830","19960","453711","19960"
"2016-12-21","20000","20070","19840","19920","687774","19920"
"2016-12-22","19890","19890","19800","19880","348621","19880"
"2016-12-26","19880","19910","19860","19870","191167","19870"
"2016-12-27","19840","19960","19830","19870","234988","19870"
"2016-12-28","19910","19950","19860","19920","297785","19920"
"2016-12-29","19810","19810","19580","19630","486844","19630"
"2016-12-30","19480","19670","19470","19580","396139","19580"
