Date,open,hight,low,close,volume,close_adj
"2019-01-04","20080","20130","19820","20130","460311","20130"
"2019-01-07","20750","20880","20620","20630","484713","20630"
"2019-01-08","20800","20960","20720","20820","223498","20820"
"2019-01-09","20980","21120","20940","21040","286536","21040"
"2019-01-10","20900","20970","20700","20780","296219","20780"
"2019-01-11","20960","21000","20900","20970","189953","20970"
"2019-01-15","20830","21190","20800","21150","312025","21150"
"2019-01-16","21200","21200","20930","21050","173808","21050"
"2019-01-17","21150","21180","20950","21020","125343","21020"
"2019-01-18","21080","21310","21070","21280","262316","21280"
"2019-01-21","21490","21520","21300","21330","229267","21330"
"2019-01-22","21410","21440","21170","21220","176331","21220"
"2019-01-23","21060","21320","21060","21220","203807","21220"
"2019-01-24","21130","21250","21080","21190","107853","21190"
"2019-01-25","21220","21470","21220","21400","335366","21400"
"2019-01-28","21390","21390","21230","21260","167840","21260"
"2019-01-29","21140","21300","21020","21260","141376","21260"
"2019-01-30","21320","21330","21140","21180","209323","21180"
"2019-01-31","21520","21520","21310","21390","378441","21390"
"2019-02-01","21420","21550","21360","21400","305859","21400"
"2019-02-04","21430","21540","21430","21490","101341","21490"
"2019-02-05","21580","21590","21440","21450","154755","21450"
"2019-02-06","21550","21580","21480","21490","131268","21490"
"2019-02-07","21510","21540","21280","21370","173929","21370"
"2019-02-08","21110","21180","20920","20960","336000","20960"
"2019-02-12","21060","21510","21040","21480","1158110","21480"
"2019-02-13","21620","21840","21620","21760","1493165","21760"
"2019-02-14","21780","21870","21730","21750","213760","21750"
"2019-02-15","21630","21630","21470","21510","174791","21510"
"2019-02-18","21900","21940","21820","21920","439734","21920"
"2019-02-19","21900","21980","21850","21950","164817","21950"
"2019-02-20","21980","22140","21950","22050","389451","22050"
"2019-02-21","22050","22200","21950","22110","459709","22110"
"2019-02-22","22020","22100","21990","22070","209329","22070"
"2019-02-25","22200","22240","22140","22190","200970","22190"
"2019-02-26","22260","22270","22060","22100","228886","22100"
"2019-02-27","22150","22240","22150","22230","146448","22230"
"2019-02-28","22200","22200","22020","22020","165705","22020"
"2019-03-01","22130","22300","22130","22280","286898","22280"
"2019-03-04","22460","22530","22400","22510","456822","22510"
"2019-03-05","22390","22460","22320","22370","173992","22370"
"2019-03-06","22330","22350","22210","22280","273145","22280"
"2019-03-07","22110","22130","22050","22100","250752","22100"
"2019-03-08","21970","21980","21630","21660","356545","21660"
"2019-03-11","21710","21800","21580","21800","152822","21800"
"2019-03-12","22040","22230","22030","22170","190476","22170"
