Date,open,hight,low,close,volume,close_adj
"2018-01-04","23770","24150","23770","24150","611004","24150"
"2018-01-05","24280","24390","24170","24370","495513","24370"
"2018-01-09","24650","24650","24450","24510","363084","24510"
"2018-01-10","24490","24520","24410","24440","221450","24440"
"2018-01-11","24330","24400","24250","24360","710369","24360"
"2018-01-12","24410","24410","24240","24310","383357","24310"
"2018-01-15","24460","24490","24340","24370","193839","24370"
"2018-01-16","24390","24620","24350","24610","258414","24610"
"2018-01-17","24430","24550","24400","24530","255050","24530"
"2018-01-18","24770","24780","24360","24430","559985","24430"
"2018-01-19","24500","24540","24400","24450","309262","24450"
"2018-01-22","24470","24470","24340","24470","200760","24470"
"2018-01-23","24600","24800","24580","24790","325248","24790"
"2018-01-24","24680","24740","24570","24630","290971","24630"
"2018-01-25","24410","24490","24300","24340","474533","24340"
"2018-01-26","24450","24470","24250","24300","379006","24300"
"2018-01-29","24400","24440","24230","24290","303819","24290"
"2018-01-30","24230","24230","23880","23940","1238380","23940"
"2018-01-31","23830","24030","23760","23770","554453","23770"
"2018-02-01","23960","24160","23870","24080","525827","24080"
"2018-02-02","23990","24000","23760","23920","593576","23920"
"2018-02-05","23450","23490","23280","23330","1310751","23330"
"2018-02-06","22340","22460","21660","22210","2087265","22210"
"2018-02-07","22880","22980","22230","22240","766592","22240"
"2018-02-08","22350","22590","22240","22510","542201","22510"
"2018-02-09","21730","22000","21690","21980","1231760","21980"
"2018-02-13","22300","22310","21790","21840","631343","21840"
"2018-02-14","21850","21960","21520","21740","543994","21740"
"2018-02-15","21990","22170","21890","22080","514775","22080"
"2018-02-16","22170","22470","22110","22300","354263","22300"
"2018-02-19","22490","22770","22450","22740","244349","22740"
"2018-02-20","22680","22680","22430","22530","219940","22530"
"2018-02-21","22560","22760","22440","22600","251508","22600"
"2018-02-22","22390","22410","22220","22340","477684","22340"
"2018-02-23","22400","22500","22340","22500","156346","22500"
"2018-02-26","22780","22870","22660","22780","247765","22780"
"2018-02-27","23010","23140","22960","23000","285484","23000"
"2018-02-28","22900","23000","22720","22730","283416","22730"
"2018-03-01","22550","22550","22260","22340","657058","22340"
"2018-03-02","21840","21880","21680","21790","1087635","21790"
"2018-03-05","21640","21760","21530","21630","540316","21630"
"2018-03-06","22040","22160","22010","22020","266690","22020"
"2018-03-07","21870","22090","21790","21840","314391","21840"
"2018-03-08","22100","22110","21890","21970","180583","21970"
"2018-03-09","22190","22490","21950","22090","413390","22090"
"2018-03-12","22550","22600","22300","22460","489950","22460"
"2018-03-13","22340","22590","22300","22590","456448","22590"
"2018-03-14","22390","22500","22290","22380","248986","22380"
"2018-03-15","22300","22440","22160","22430","206003","22430"
"2018-03-16","22460","22480","22240","22300","246857","22300"
"2018-03-19","22130","22270","21960","22090","234806","22090"
"2018-03-20","21880","21990","21830","21990","189985","21990"
