Date,open,hight,low,close,volume,close_adj
"2017-01-04","19790","20100","19780","20080","749647","20080"
"2017-01-05","20100","20120","19960","20020","679991","20020"
"2017-01-06","19850","19980","19830","19950","474555","19950"
"2017-01-10","19910","19980","19750","19820","388580","19820"
"2017-01-11","19860","19890","19830","19860","351023","19860"
"2017-01-12","19760","19780","19560","19640","591801","19640"
"2017-01-13","19660","19790","19650","19790","372166","19790"
"2017-01-16","19710","19740","19550","19610","481413","19610"
"2017-01-17","19560","19560","19310","19320","658995","19320"
"2017-01-18","19240","19430","19130","19400","689105","19400"
"2017-01-19","19550","19620","19470","19580","308724","19580"
"2017-01-20","19540","19680","19530","19630","335402","19630"
"2017-01-23","19450","19520","19360","19400","437368","19400"
"2017-01-24","19290","19400","19260","19290","399512","19290"
"2017-01-25","19570","19630","19460","19510","871864","19510"
"2017-01-26","19740","19900","19720","19870","430065","19870"
"2017-01-27","19960","19980","19890","19930","406369","19930"
"2017-01-30","19850","19880","19790","19860","200917","19860"
"2017-01-31","19610","19680","19520","19540","572642","19540"
"2017-02-01","19420","19640","19400","19640","469320","19640"
"2017-02-02","19660","19660","19350","19410","641040","19410"
"2017-02-03","19500","19550","19310","19400","463324","19400"
"2017-02-06","19580","19590","19390","19450","269708","19450"
"2017-02-07","19320","19460","19290","19400","234788","19400"
"2017-02-08","19420","19490","19350","19470","130284","19470"
"2017-02-09","19430","19470","19350","19390","126467","19390"
"2017-02-10","19730","19890","19690","19860","582789","19860"
"2017-02-13","20000","20020","19910","19960","475382","19960"
"2017-02-14","19980","19990","19720","19740","385408","19740"
"2017-02-15","19960","19990","19920","19920","553083","19920"
"2017-02-16","19910","19920","19750","19820","348707","19820"
"2017-02-17","19720","19760","19650","19730","265422","19730"
"2017-02-20","19670","19760","19600","19740","196105","19740"
"2017-02-21","19760","19890","19760","19860","112658","19860"
"2017-02-22","19930","19930","19820","19860","131029","19860"
"2017-02-23","19860","19870","19750","19870","118747","19870"
"2017-02-24","19750","19890","19710","19800","215524","19800"
"2017-02-27","19650","19680","19490","19660","430016","19660"
"2017-02-28","19720","19770","19630","19630","206494","19630"
"2017-03-01","19720","19920","19660","19910","489398","19910"
"2017-03-02","20150","20180","20060","20060","1183536","20060"
"2017-03-03","20060","20090","19890","19980","298779","19980"
"2017-03-06","19920","19920","19840","19890","129342","19890"
"2017-03-07","19830","19880","19820","19840","145979","19840"
"2017-03-08","19820","19840","19690","19760","277833","19760"
"2017-03-09","19860","19860","19770","19820","118394","19820"
