Date,open,hight,low,close,volume,close_adj
"2015-01-05","17720","17930","17590","17780","727713","17780"
"2015-01-06","17430","17470","17250","17270","1405279","17270"
"2015-01-07","17140","17350","17130","17270","737548","17270"
"2015-01-08","17440","17630","17390","17560","607982","17560"
"2015-01-09","17740","17740","17510","17570","504940","17570"
"2015-01-13","17330","17460","17190","17440","773909","17440"
"2015-01-14","17320","17410","17130","17170","754296","17170"
"2015-01-15","17220","17510","17210","17480","785421","17480"
"2015-01-16","17120","17240","16950","17240","1957143","17240"
"2015-01-19","17390","17420","17280","17380","504886","17380"
"2015-01-20","17440","17740","17440","17740","646051","17740"
"2015-01-21","17680","17710","17560","17660","416808","17660"
"2015-01-22","17690","17730","17600","17700","235868","17700"
"2015-01-23","17900","17920","17840","17870","609569","17870"
"2015-01-26","17670","17860","17660","17840","219690","17840"
"2015-01-27","18020","18150","18010","18140","802753","18140"
"2015-01-28","17980","18240","17970","18190","459966","18190"
"2015-01-29","18010","18170","17960","17970","525366","17970"
"2015-01-30","18160","18190","18050","18060","520632","18060"
"2015-02-02","17900","18020","17850","17940","684168","17940"
"2015-02-03","18050","18050","17660","17720","739820","17720"
"2015-02-04","17960","18130","17920","18050","650867","18050"
"2015-02-05","17980","18010","17860","17890","533736","17890"
"2015-02-06","18080","18100","17990","18010","381696","18010"
"2015-02-09","18170","18190","18040","18100","542282","18100"
"2015-02-10","18020","18060","17930","18040","396116","18040"
"2015-02-12","18320","18390","18300","18350","1630161","18350"
"2015-02-13","18290","18360","18250","18310","414289","18310"
"2015-02-16","18400","18460","18370","18390","489702","18390"
"2015-02-17","18330","18400","18280","18380","323122","18380"
"2015-02-18","18480","18600","18470","18580","520849","18580"
"2015-02-19","18620","18720","18620","18650","425594","18650"
"2015-02-20","18710","18760","18690","18720","516544","18720"
"2015-02-23","18890","18910","18800","18870","563551","18870"
"2015-02-24","18870","19010","18830","18990","467986","18990"
"2015-02-25","19040","19060","18960","19000","278318","19000"
"2015-02-26","19000","19210","19000","19210","609106","19210"
"2015-02-27","19260","19280","19130","19220","363266","19220"
"2015-03-02","19280","19400","19190","19220","621616","19220"
"2015-03-03","19330","19330","19140","19230","443600","19230"
"2015-03-04","19130","19150","19000","19120","306481","19120"
"2015-03-05","19090","19180","19060","19170","339659","19170"
"2015-03-06","19240","19400","19230","19390","559240","19390"
"2015-03-09","19300","19310","19150","19220","786307","19220"
"2015-03-10","19320","19340","18980","19080","730024","19080"
"2015-03-11","18990","19250","18980","19140","526288","19140"
"2015-03-12","19200","19430","19180","19400","515589","19400"
"2015-03-13","19560","19750","19530","19680","1212897","19680"
"2015-03-16","19660","19780","19640","19670","434711","19670"
"2015-03-17","19830","19920","19800","19890","474841","19890"
"2015-03-18","19850","20000","19820","19990","451918","19990"
"2015-03-19","19930","20000","19740","19930","754173","19930"
"2015-03-20","19940","20000","19840","20000","474393","20000"
"2015-03-23","20090","20220","20070","20210","379955","20210"
"2015-03-24","20160","20210","20080","20160","381376","20160"
"2015-03-25","20170","20220","19970","20200","410174","20200"
"2015-03-26","20060","20070","19830","19910","718121","19910"
